year,URBRUR,age,country_direction,country_econ_condit,present_living_condit,living_condit_v_oth,radio_news,tv_news,newspaper_news,internet_news,social_med_news,information_school_budget,information_local_gov_dev_plan,information_business_registry,sat_dem,bribe_school_services,bribe_med_services,gov_handling_basic_health,gov_handling_edu_needs,gov_handling_corruption,better_worse_access_medical_care,better_worse_gov_effectiveness_edu_needs,edu,gender,country
2008,2,72,"NA",5,4,3,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,1,ghana
2008,2,37,"NA",4,1,1,4,4,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",2,2,ghana
2008,2,50,"NA",1,1,1,4,4,1,"NA","NA","NA","NA","NA",3,"NA","NA",1,1,1,"NA","NA",2,1,ghana
2008,2,30,"NA",1,4,4,4,4,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",2,2,ghana
2008,2,26,"NA",5,5,4,3,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,4,"NA","NA",3,2,ghana
2008,2,55,"NA",1,1,3,3,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",3,1,ghana
2008,1,51,"NA",1,1,3,4,4,0,"NA","NA","NA","NA","NA",2,"NA","NA",4,4,4,"NA","NA",1,2,ghana
2008,1,57,"NA",1,2,2,4,4,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",2,1,ghana
2008,2,28,"NA",3,1,4,4,3,3,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,3,"NA","NA",3,1,ghana
2008,2,50,"NA",5,4,4,4,4,4,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",5,1,ghana
2008,2,45,"NA",4,1,3,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,2,ghana
2008,2,54,"NA",4,1,1,3,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",0,1,ghana
2008,2,45,"NA",1,1,1,3,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",5,2,ghana
2008,2,42,"NA",4,5,3,4,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,2,ghana
2008,1,32,"NA",1,1,5,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,1,"NA","NA",3,1,ghana
2008,1,25,"NA",1,1,3,4,3,3,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",5,1,ghana
2008,2,30,"NA",2,2,3,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,2,ghana
2008,1,35,"NA",2,2,3,4,4,1,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,1,"NA","NA",5,1,ghana
2008,1,29,"NA",4,5,4,3,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,1,1,"NA","NA",2,2,ghana
2008,1,19,"NA",1,1,3,3,3,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,1,"NA","NA",5,1,ghana
2008,1,47,"NA",4,4,4,4,4,2,"NA","NA","NA","NA","NA",4,"NA","NA",3,1,2,"NA","NA",6,1,ghana
2008,1,41,"NA",1,1,2,4,3,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,3,1,"NA","NA",1,2,ghana
2008,1,45,"NA",1,1,3,4,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,3,"NA","NA",5,1,ghana
2008,2,22,"NA",1,1,1,4,3,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,1,"NA","NA",4,1,ghana
2008,2,19,"NA",1,1,2,0,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",2,2,2,"NA","NA",3,2,ghana
2008,2,31,"NA",1,1,1,4,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",1,1,1,"NA","NA",0,1,ghana
2008,2,59,"NA",1,1,2,4,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",2,2,2,"NA","NA",0,2,ghana
2008,2,18,"NA",1,1,2,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,1,ghana
2008,2,20,"NA",1,1,2,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,2,3,"NA","NA",0,2,ghana
2008,2,35,"NA",4,4,4,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",0,2,ghana
2008,2,30,"NA",4,5,4,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,2,ghana
2008,2,28,"NA",5,4,4,4,2,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,1,ghana
2008,2,20,"NA",4,4,5,3,3,3,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,2,"NA","NA",5,2,ghana
2008,1,19,"NA",4,4,4,3,3,3,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,4,"NA","NA",4,1,ghana
2008,1,19,"NA",4,4,4,3,3,1,"NA","NA","NA","NA","NA",4,"NA","NA",4,1,3,"NA","NA",4,1,ghana
2008,2,19,"NA",1,2,2,2,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,1,1,"NA","NA",2,2,ghana
2008,2,19,"NA",5,5,3,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",3,2,ghana
2008,2,19,"NA",1,1,2,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",4,2,1,"NA","NA",2,1,ghana
2008,2,45,"NA",4,4,2,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,3,3,"NA","NA",0,1,ghana
2008,2,40,"NA",3,5,4,4,4,0,"NA","NA","NA","NA","NA",1,"NA","NA",4,3,1,"NA","NA",5,1,ghana
2008,2,75,"NA",1,1,2,4,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,1,"NA","NA",0,1,ghana
2008,2,47,"NA",1,4,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,1,1,"NA","NA",3,1,ghana
2008,2,40,"NA",2,1,2,3,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",3,1,3,"NA","NA",0,2,ghana
2008,2,56,"NA",1,1,2,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,2,2,"NA","NA",0,1,ghana
2008,1,39,"NA",4,3,3,4,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",4,1,ghana
2008,1,19,"NA",4,4,4,0,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,1,ghana
2008,2,29,"NA",3,3,3,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",0,2,ghana
2008,1,21,"NA",5,1,1,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",4,2,ghana
2008,1,29,"NA",1,4,5,3,2,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,2,1,"NA","NA",3,1,ghana
2008,1,50,"NA",4,4,3,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",1,2,ghana
2008,1,36,"NA",4,4,3,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,4,"NA","NA",4,1,ghana
2008,2,20,"NA",4,1,1,3,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,2,2,"NA","NA",0,1,ghana
2008,2,20,"NA",4,4,2,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",0,2,ghana
2008,2,19,"NA",1,1,1,2,0,0,"NA","NA","NA","NA","NA",0,"NA","NA",3,3,2,"NA","NA",2,2,ghana
2008,2,50,"NA",4,3,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",5,1,ghana
2008,2,53,"NA",2,2,2,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,4,"NA","NA",0,2,ghana
2008,2,40,"NA",2,2,2,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",1,1,2,"NA","NA",3,2,ghana
2008,2,45,"NA",2,1,2,4,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,2,"NA","NA",2,1,ghana
2008,2,30,"NA",1,1,1,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,2,"NA","NA",0,2,ghana
2008,2,24,"NA",1,1,1,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,2,"NA","NA",2,1,ghana
2008,2,42,"NA",1,1,1,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,2,"NA","NA",0,2,ghana
2008,2,28,"NA",1,1,1,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",4,3,3,"NA","NA",3,1,ghana
2008,2,30,"NA",5,2,3,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,3,4,"NA","NA",0,2,ghana
2008,2,30,"NA",3,1,1,0,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",1,1,1,"NA","NA",2,2,ghana
2008,1,28,"NA",3,3,3,2,1,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",2,1,ghana
2008,2,30,"NA",1,2,1,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",2,1,ghana
2008,1,20,"NA",2,1,4,4,4,1,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,1,"NA","NA",5,2,ghana
2008,1,25,"NA",1,1,4,4,4,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,1,"NA","NA",5,2,ghana
2008,2,19,"NA",5,5,3,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",2,2,ghana
2008,2,30,"NA",4,4,3,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,4,4,"NA","NA",0,1,ghana
2008,2,20,"NA",4,1,2,3,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",4,1,ghana
2008,2,51,"NA",4,2,4,4,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,2,"NA","NA",5,1,ghana
2008,2,32,"NA",1,1,1,4,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,4,"NA","NA",2,1,ghana
2008,2,41,"NA",1,1,1,4,3,4,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,3,"NA","NA",3,2,ghana
2008,1,26,"NA",1,2,4,4,4,2,"NA","NA","NA","NA","NA",4,"NA","NA",3,2,3,"NA","NA",3,1,ghana
2008,1,21,"NA",3,4,3,1,1,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",3,2,ghana
2008,1,36,"NA",4,4,4,4,4,2,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,2,"NA","NA",5,1,ghana
2008,1,30,"NA",3,5,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",2,2,ghana
2008,2,32,"NA",5,5,4,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",5,2,ghana
2008,1,27,"NA",4,4,4,4,3,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,2,"NA","NA",2,1,ghana
2008,2,35,"NA",2,2,2,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",1,2,2,"NA","NA",2,2,ghana
2008,1,46,"NA",2,4,3,4,3,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,2,1,"NA","NA",5,2,ghana
2008,2,35,"NA",5,4,4,3,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,4,"NA","NA",2,2,ghana
2008,2,24,"NA",4,4,4,4,2,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",3,2,ghana
2008,1,53,"NA",4,4,4,4,4,4,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",6,2,ghana
2008,2,32,"NA",2,2,3,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,2,2,"NA","NA",0,2,ghana
2008,2,40,"NA",5,1,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,3,"NA","NA",0,2,ghana
2008,2,24,"NA",4,1,2,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,2,"NA","NA",0,1,ghana
2008,2,38,"NA",5,1,3,0,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,3,"NA","NA",0,2,ghana
2008,1,43,"NA",1,1,2,4,4,4,"NA","NA","NA","NA","NA",1,"NA","NA",2,1,1,"NA","NA",8,1,ghana
2008,2,25,"NA",2,4,2,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,1,1,"NA","NA",0,1,ghana
2008,2,24,"NA",2,2,2,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,1,1,"NA","NA",0,1,ghana
2008,2,20,"NA",1,1,2,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",0,2,ghana
2008,2,40,"NA",1,1,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,2,4,"NA","NA",0,1,ghana
2008,1,50,"NA",2,4,4,4,4,4,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,2,"NA","NA",4,1,ghana
2008,2,18,"NA",4,1,2,3,3,3,"NA","NA","NA","NA","NA",2,"NA","NA",1,1,1,"NA","NA",4,2,ghana
2008,2,42,"NA",4,2,2,4,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,2,"NA","NA",5,2,ghana
2008,2,27,"NA",2,1,2,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,2,"NA","NA",0,2,ghana
2008,2,25,"NA",3,2,4,4,2,2,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,4,"NA","NA",5,1,ghana
2008,2,32,"NA",4,4,4,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,4,"NA","NA",4,1,ghana
2008,2,25,"NA",3,5,4,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",3,1,ghana
2008,2,40,"NA",2,2,3,4,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,1,ghana
2008,2,56,"NA",2,2,2,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",2,1,ghana
2008,2,54,"NA",1,4,2,2,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,1,ghana
2008,2,33,"NA",1,2,2,2,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",2,2,2,"NA","NA",2,1,ghana
2008,2,35,"NA",4,4,2,0,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,3,3,"NA","NA",0,2,ghana
2008,1,35,"NA",1,1,1,4,4,1,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",3,2,ghana
2008,2,34,"NA",2,2,4,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,3,"NA","NA",4,2,ghana
2008,1,21,"NA",4,4,2,4,4,2,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,1,"NA","NA",5,1,ghana
2008,1,28,"NA",5,4,4,4,4,3,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,1,"NA","NA",5,1,ghana
2008,2,48,"NA",3,3,4,3,0,4,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,2,"NA","NA",1,1,ghana
2008,1,43,"NA",1,5,4,4,4,4,"NA","NA","NA","NA","NA",2,"NA","NA",2,2,1,"NA","NA",8,1,ghana
2008,1,35,"NA",1,2,2,4,2,0,"NA","NA","NA","NA","NA",2,"NA","NA",2,2,2,"NA","NA",6,1,ghana
2008,1,26,"NA",4,4,4,1,1,1,"NA","NA","NA","NA","NA",4,"NA","NA",2,2,3,"NA","NA",4,2,ghana
2008,1,50,"NA",1,1,3,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",3,1,ghana
2008,1,24,"NA",4,4,4,4,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,4,1,"NA","NA",5,1,ghana
2008,1,36,"NA",4,1,3,4,4,2,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",5,1,ghana
2008,1,29,"NA",2,2,2,1,1,0,"NA","NA","NA","NA","NA",2,"NA","NA",3,3,2,"NA","NA",3,1,ghana
2008,1,52,"NA",5,4,3,3,4,0,"NA","NA","NA","NA","NA",4,"NA","NA",2,2,2,"NA","NA",5,1,ghana
2008,2,50,"NA",4,4,4,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,1,1,"NA","NA",0,2,ghana
2008,2,48,"NA",4,2,4,4,0,0,"NA","NA","NA","NA","NA",2,"NA","NA",4,4,1,"NA","NA",3,1,ghana
2008,2,29,"NA",3,1,3,4,4,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,3,4,"NA","NA",6,1,ghana
2008,2,61,"NA",2,2,3,4,1,3,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,4,"NA","NA",6,2,ghana
2008,2,23,"NA",2,1,4,4,0,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",4,1,ghana
2008,2,43,"NA",1,1,4,1,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",4,2,ghana
2008,2,26,"NA",2,2,2,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,2,2,"NA","NA",0,1,ghana
2008,2,50,"NA",5,5,3,3,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",0,2,ghana
2008,2,60,"NA",4,4,3,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,3,1,"NA","NA",0,1,ghana
2008,1,36,"NA",5,4,3,4,4,4,"NA","NA","NA","NA","NA",3,"NA","NA",4,2,3,"NA","NA",5,1,ghana
2008,1,24,"NA",5,4,3,4,3,1,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",1,1,ghana
2008,2,29,"NA",2,3,3,1,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",0,1,ghana
2008,1,22,"NA",4,4,4,4,2,0,"NA","NA","NA","NA","NA",4,"NA","NA",1,1,1,"NA","NA",0,2,ghana
2008,2,25,"NA",4,4,2,4,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",1,1,1,"NA","NA",5,1,ghana
2008,2,29,"NA",5,2,3,3,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",3,2,ghana
2008,2,37,"NA",5,1,4,4,1,1,"NA","NA","NA","NA","NA",2,"NA","NA",4,4,4,"NA","NA",5,1,ghana
2008,2,37,"NA",1,1,4,3,1,0,"NA","NA","NA","NA","NA",3,"NA","NA",1,1,1,"NA","NA",3,2,ghana
2008,2,45,"NA",4,4,1,4,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,2,4,"NA","NA",4,2,ghana
2008,2,18,"NA",4,4,4,2,0,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,4,"NA","NA",4,1,ghana
2008,2,33,"NA",4,2,2,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",0,2,ghana
2008,2,40,"NA",4,1,3,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,2,3,"NA","NA",3,2,ghana
2008,2,23,"NA",4,5,4,4,4,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",2,1,ghana
2008,1,18,"NA",4,4,4,4,4,3,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,3,"NA","NA",4,1,ghana
2008,2,50,"NA",1,1,2,4,4,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",2,1,ghana
2008,2,25,"NA",5,5,3,0,0,3,"NA","NA","NA","NA","NA",4,"NA","NA",3,3,3,"NA","NA",5,1,ghana
2008,2,20,"NA",1,1,1,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",4,2,ghana
2008,1,20,"NA",3,1,2,4,2,1,"NA","NA","NA","NA","NA",1,"NA","NA",4,2,1,"NA","NA",6,2,ghana
2008,2,39,"NA",1,1,4,4,2,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,2,2,"NA","NA",4,1,ghana
2008,1,28,"NA",4,4,4,4,2,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,3,3,"NA","NA",2,1,ghana
2008,2,64,"NA",2,2,2,4,0,0,"NA","NA","NA","NA","NA",4,"NA","NA",3,4,3,"NA","NA",0,1,ghana
2008,2,21,"NA",1,1,1,4,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",4,4,2,"NA","NA",3,2,ghana
2008,2,35,"NA",5,1,2,3,4,0,"NA","NA","NA","NA","NA",3,"NA","NA",3,3,3,"NA","NA",0,1,ghana
2008,2,45,"NA",2,2,2,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",3,3,1,"NA","NA",0,2,ghana
2008,2,28,"NA",4,2,2,0,0,0,"NA","NA","NA","NA","NA",1,"NA","NA",1,1,1,"NA","NA",0,2,ghana
2008,2,35,"NA",4,4,3,2,3,0,"NA","NA","NA","NA","NA",4,"NA","NA",4,4,4,"NA","NA",1,1,ghana
